NCBI_Id,GeneID
LOC542390,Zm00001d038397
LOC542391,Zm00001d033859
LOC542392,Zm00001d023223
LOC542393,Zm00001d020057
LOC542394,Zm00001d030617
LOC542395,Zm00001d013159
LOC542396,-
LOC542400,Zm00001d033747
LOC542401,Zm00001d051804
LOC542404,Zm00001d052736
LOC542405,Zm00001d040260
LOC542406,Zm00001d010758
LOC542407,Zm00001d012553
LOC542408,Zm00001d011080
LOC542409,Zm00001d038783
LOC542410,Zm00001d010797
LOC542411,Zm00001d012773
LOC542412,Zm00001d011242
LOC542414,Zm00001d023994
LOC542415,Zm00001d038545
LOC542416,Zm00001d033457
LOC542417,Zm00001d013612
LOC542418,Zm00001d040508
LOC542420,Zm00001d028948
LOC542421,Zm00001d025305
LOC542422,Zm00001d051881
LOC542424,Zm00001d037582
LOC542425,Zm00001d018415
LOC542426,Zm00001d047808
LOC542427,Zm00001d006283
LOC542430,Zm00001d021497
LOC542432,Zm00001d048611
LOC542434,Zm00001d002690
LOC542435,Zm00001d045675
LOC542436,Zm00001d009780
LOC542438,Zm00001d031136
LOC542440,Zm00001d043452
LOC542441,Zm00001d053010
LOC542444,Zm00001d018383
LOC542445,Zm00001d034644
LOC542446,Zm00001d018090
LOC542448,Zm00001d027819
LOC542449,Zm00001d029124
LOC542450,Zm00001d000300
LOC542451,Zm00001d020636
LOC542452,Zm00001d011473
LOC542454,Zm00001d035201
LOC542455,Zm00001d051427
LOC542458,Zm00001d036871
LOC542459,-
LOC542460,Zm00001d034125
LOC542462,Zm00001d025588
LOC542463,Zm00001d032152
LOC542464,Zm00001d002897
LOC542466,Zm00001d019166
LOC542467,Zm00001d024027
LOC542468,Zm00001d040090
LOC542469,Zm00001d012353
LOC542470,Zm00001d020971
LOC542472,Zm00001d021702
LOC542473,Zm00001d039258
LOC542474,Zm00001d028963
LOC542475,Zm00001d029778
LOC542476,Zm00001d007234
LOC542477,-
LOC542478,Zm00001d021763
LOC542479,Zm00001d016166
LOC542480,Zm00001d047651
LOC542481,Zm00001d037234
LOC542482,Zm00001d000349
LOC542483,Zm00001d006107
LOC542484,Zm00001d012810
LOC542487,Zm00001d040611
LOC542488,Zm00001d030737
LOC542489,Zm00001d039660
LOC542490,Zm00001d021470
LOC542491,Zm00001d048559
LOC542492,Zm00001d023698
LOC542493,Zm00001d039260
LOC542494,Zm00001d048959
lox3,Zm00001d033623
LOC542496,Zm00001d047087
LOC542497,Zm00001d044826
LOC542498,Zm00001d017898
LOC542499,Zm00001d038737
LOC542500,-
mbd109,Zm00001d013667
LOC542502,Zm00001d047965
LOC542503,Zm00001d010732
LOC542504,Zm00001d030614
LOC542505,Zm00001d037547
LOC542506,Zm00001d006094
LOC542507,Zm00001d042148
LOC542508,Zm00001d003569
LOC542509,Zm00001d028818
LOC542510,Zm00001d010796
LOC542511,Zm00001d000071
LOC542512,Zm00001d020036
LOC542514,Zm00001d020531
LOC542515,Zm00001d048527
LOC542517,Zm00001d007597
LOC542518,-
LOC542519,Zm00001d018134
LOC542520,Zm00001d028260
LOC542521,Zm00001d036008
LOC542522,Zm00001d005890
LOC542523,Zm00001d042396
LOC542525,Zm00001d043988
LOC542526,Zm00001d021623
LOC542528,Zm00001d002005
LOC542529,-
LOC542530,Zm00001d009589
LOC542531,Zm00001d003588
LOC542532,Zm00001d045366
LOC542533,Zm00001d040323
LOC542534,Zm00001d028608
LOC542536,Zm00001d012751
LOC542537,Zm00001d006760
LOC542538,Zm00001d048856
LOC542539,Zm00001d044254
LOC542540,Zm00001d028180
LOC542542,Zm00001d005485
LOC542543,Zm00001d016860
LOC542544,Zm00001d012817
LOC542545,Zm00001d033248
LOC542546,-
LOC542547,Zm00001d050496
LOC542548,Zm00001d046972
LOC542549,Zm00001d014887
LOC542550,Zm00001d025286
LOC542551,Zm00001d026578
